index,filename,width,height,unique,blur,mean,min,max,stdv,file_size,contrast
0,images/reliable/0001b42a487b2f674b15e17be10a69d3104fd713.jpg,1024,679,256,422.1206,98.9896,0.0000,255.0000,57.4959,38033,1.0000
1,images/reliable/0003a5ec9128a3238f8410223a8ebf580acb8155.jpg,1920,1280,242,17983.0586,138.4008,0.0000,255.0000,117.2531,126088,1.0000
2,images/reliable/000b078d3aab2c9cf2d4e77b6cf346fd32746082.jpg,754,502,256,4127.1689,143.9681,0.0000,255.0000,59.6466,57246,1.0000
3,images/reliable/001f0b0a18821288ec7a14568c6d6addcd889217.jpg,1024,576,256,747.8600,133.1389,0.0000,255.0000,66.9725,68287,1.0000
4,images/reliable/002492e9c32f8d79a4902b961fb78c46ac92705e.jpg,750,422,255,2821.3223,133.1476,0.0000,255.0000,56.0559,29350,1.0000
5,images/reliable/00261de67a82034337ee788d5adee8e14f59fff9.jpg,660,372,255,953.4698,222.5434,0.0000,255.0000,28.3523,16095,1.0000
6,images/reliable/0037e08908cafebcb435b1bc19360863e189c2ea.jpg,380,253,235,394.5961,79.2022,0.0000,237.0000,45.1660,12430,1.0000
7,images/reliable/0050dfd9feec161fba99985de704ddda6911bb78.jpg,1024,683,256,919.4094,172.9359,0.0000,255.0000,61.6021,65543,1.0000
8,images/reliable/0077d63827dc1e33cd53605e5076eb840b851b08.jpg,250,141,256,534.9278,120.9320,0.0000,255.0000,52.5797,7183,1.0000
9,images/reliable/007ecf1b8ad74ab710ef1f07a903efccd047afb8.jpg,480,320,256,854.2543,189.2217,0.0000,255.0000,45.4537,21884,1.0000
10,images/reliable/0094e99c2ee88ff3265493b4cc66bf1eeb21f3ca.jpg,975,975,256,1887.5952,114.5547,0.0000,255.0000,48.8124,98398,1.0000
11,images/reliable/00969bc4660b3508b14f76161a4300938866188b.jpg,5760,3840,256,1839.2369,95.6457,0.0000,255.0000,58.4124,6303118,1.0000
12,images/reliable/0099f6d5a241db0d5170dad0f1c56a20093971e0.jpg,380,253,246,878.7589,106.1734,0.0000,255.0000,55.6391,13553,1.0000
13,images/reliable/009b34c189d6f4093a3d7a19a8a3a8221c467d72.jpg,480,581,256,1859.9664,78.8884,0.0000,255.0000,76.2367,57428,1.0000
14,images/reliable/009f1bacf6dab6ca5cdd222a0dd37845218feaa1.jpg,1024,1024,256,1921.8448,131.0463,0.0000,255.0000,66.1854,75672,1.0000
15,images/reliable/00a6dc3ef08721c4111718b5a55e46faf577fe45.jpg,1100,618,256,9977.3867,109.5082,0.0000,255.0000,63.8743,48608,1.0000
16,images/reliable/00b50744a36ded0c560cf3f30b94632f48faa7f3.jpg,1024,575,256,4971.8662,108.8654,0.0000,255.0000,57.2342,151797,1.0000
